<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.21	00:00:00	110.350	110.436	110.318	110.375	10641	0	1
2018.06.21	04:00:00	110.375	110.685	110.333	110.643	10650	0	1
2018.06.21	08:00:00	110.643	110.756	110.363	110.466	15245	0	1
2018.06.21	12:00:00	110.466	110.595	110.202	110.270	18410	0	1
2018.06.21	16:00:00	110.270	110.316	109.850	109.956	19142	0	1
2018.06.21	20:00:00	109.956	110.034	109.840	109.947	9054	0	1
2018.06.22	00:00:00	109.960	110.036	109.833	109.997	22534	0	1
2018.06.22	04:00:00	109.997	110.076	109.931	110.030	8486	0	1
2018.06.22	08:00:00	110.030	110.216	109.859	110.141	13520	0	1
2018.06.22	12:00:00	110.141	110.193	110.042	110.060	7359	0	1
2018.06.22	16:00:00	110.059	110.115	109.800	109.944	12835	0	1
2018.06.22	20:00:00	109.944	110.002	109.873	109.974	5349	0	1
2018.06.25	00:00:00	109.855	110.020	109.579	109.620	15669	0	1
2018.06.25	04:00:00	109.620	109.680	109.448	109.488	11549	0	1
2018.06.25	08:00:00	109.488	109.586	109.373	109.456	13572	0	1
2018.06.25	12:00:00	109.456	109.663	109.412	109.649	8646	0	1
2018.06.25	16:00:00	109.649	109.693	109.468	109.542	17632	0	1
2018.06.25	20:00:00	109.542	110.038	109.366	109.736	13908	0	1
2018.06.26	00:00:00	109.742	109.778	109.505	109.561	15238	0	1
2018.06.26	04:00:00	109.561	109.643	109.368	109.455	13604	0	1
2018.06.26	08:00:00	109.455	109.725	109.455	109.646	12303	0	1
2018.06.26	12:00:00	109.646	109.803	109.555	109.707	9646	0	1
2018.06.26	16:00:00	109.707	110.045	109.673	109.995	15095	0	1
2018.06.26	20:00:00	109.995	110.218	109.985	110.008	7831	0	1
2018.06.27	00:00:00	110.008	110.203	109.889	109.934	15685	0	1
2018.06.27	04:00:00	109.934	110.001	109.770	109.988	14063	0	1
2018.06.27	08:00:00	109.988	110.007	109.682	109.773	16206	0	1
2018.06.27	12:00:00	109.773	110.344	109.760	110.248	21526	0	1
2018.06.27	16:00:00	110.248	110.489	110.243	110.345	18739	0	1
2018.06.27	20:00:00	110.344	110.374	110.145	110.253	12741	0	1
2018.06.28	00:00:00	110.252	110.290	109.964	110.037	17918	0	1
2018.06.28	04:00:00	110.036	110.314	110.004	110.292	13422	0	1
2018.06.28	08:00:00	110.292	110.416	110.231	110.303	13206	0	1
2018.06.28	12:00:00	110.303	110.325	110.060	110.147	12598	0	1
2018.06.28	16:00:00	110.147	110.423	110.138	110.338	20105	0	1
2018.06.28	20:00:00	110.338	110.647	110.325	110.485	9143	0	1
2018.06.29	00:00:00	110.480	110.538	110.372	110.445	14234	0	1
2018.06.29	04:00:00	110.444	110.790	110.430	110.674	21300	0	1
2018.06.29	08:00:00	110.672	110.761	110.563	110.741	14636	0	1
2018.06.29	12:00:00	110.741	110.748	110.473	110.608	13478	0	1
2018.06.29	16:00:00	110.608	110.879	110.606	110.780	14441	0	1
2018.06.29	20:00:00	110.780	110.943	110.602	110.756	7412	0	1
2018.07.02	00:00:00	110.585	110.843	110.551	110.843	21876	0	1
2018.07.02	04:00:00	110.843	111.061	110.751	110.800	12547	0	1
2018.07.02	08:00:00	110.800	110.839	110.601	110.803	16307	0	1
2018.07.02	12:00:00	110.803	110.837	110.697	110.815	9219	0	1
2018.07.02	16:00:00	110.815	110.919	110.674	110.842	13057	0	1
2018.07.02	20:00:00	110.842	110.926	110.790	110.894	6836	0	1
2018.07.03	00:00:00	110.894	110.975	110.754	110.960	16806	0	1
2018.07.03	04:00:00	110.960	111.132	110.753	110.841	19508	0	1
2018.07.03	08:00:00	110.841	111.116	110.788	110.927	17741	0	1
2018.07.03	12:00:00	110.927	110.938	110.579	110.694	9043	0	1
2018.07.03	16:00:00	110.694	110.741	110.507	110.550	12988	0	1
2018.07.03	20:00:00	110.550	110.611	110.522	110.555	4014	0	1
2018.07.04	00:00:00	110.553	110.599	110.275	110.288	13230	0	1
2018.07.04	04:00:00	110.288	110.482	110.279	110.454	12462	0	1
2018.07.04	08:00:00	110.454	110.554	110.322	110.481	9211	0	1
2018.07.04	12:00:00	110.481	110.526	110.461	110.491	4801	0	1
2018.07.04	16:00:00	110.491	110.552	110.457	110.470	5988	0	1
2018.07.04	20:00:00	110.469	110.518	110.408	110.428	63280	0	1
2018.07.05	00:00:00	110.404	110.616	110.375	110.447	60663	0	1
2018.07.05	04:00:00	110.447	110.480	110.286	110.377	15582	0	1
2018.07.05	08:00:00	110.377	110.699	110.365	110.608	13081	0	1
2018.07.05	12:00:00	110.608	110.705	110.538	110.568	8267	0	1
2018.07.05	16:00:00	110.568	110.693	110.523	110.629	14452	0	1
2018.07.05	20:00:00	110.629	110.726	110.577	110.584	8086	0	1
2018.07.06	00:00:00	110.604	110.740	110.473	110.687	16511	0	1
2018.07.06	04:00:00	110.687	110.774	110.597	110.672	14135	0	1
2018.07.06	08:00:00	110.672	110.785	110.527	110.632	11231	0	1
2018.07.06	12:00:00	110.632	110.672	110.429	110.562	10070	0	1
2018.07.06	16:00:00	110.562	110.563	110.380	110.471	12697	0	1
2018.07.06	20:00:00	110.471	110.512	110.384	110.460	4549	0	1
2018.07.09	00:00:00	110.379	110.527	110.369	110.455	9225	0	1
2018.07.09	04:00:00	110.457	110.502	110.348	110.446	8571	0	1
2018.07.09	08:00:00	110.446	110.543	110.384	110.468	9370	0	1
2018.07.09	12:00:00	110.468	110.518	110.408	110.495	5974	0	1
2018.07.09	16:00:00	110.495	110.846	110.489	110.820	11688	0	1
2018.07.09	20:00:00	110.820	110.900	110.778	110.845	7341	0	1
2018.07.10	00:00:00	110.818	111.039	110.758	111.014	20126	0	1
2018.07.10	04:00:00	111.016	111.165	110.948	111.159	7890	0	1
2018.07.10	08:00:00	111.159	111.201	111.024	111.144	8385	0	1
2018.07.10	12:00:00	111.144	111.352	111.141	111.205	8822	0	1
2018.07.10	16:00:00	111.205	111.313	111.174	111.273	10603	0	1
2018.07.10	20:00:00	111.272	111.325	110.950	110.992	7882	0	1
2018.07.11	00:00:00	111.007	111.019	110.793	110.844	24974	0	1
2018.07.11	04:00:00	110.846	111.142	110.765	111.022	15636	0	1
2018.07.11	08:00:00	111.022	111.159	110.952	111.159	12517	0	1
2018.07.11	12:00:00	111.159	111.304	110.968	111.124	13266	0	1
2018.07.11	16:00:00	111.124	111.952	111.121	111.891	21795	0	1
2018.07.11	20:00:00	111.891	112.171	111.869	111.989	21754	0	1
2018.07.12	00:00:00	111.984	112.170	111.910	112.132	22971	0	1
2018.07.12	04:00:00	112.134	112.382	112.068	112.193	11504	0	1
2018.07.12	08:00:00	112.193	112.419	112.165	112.371	13195	0	1
2018.07.12	12:00:00	112.371	112.624	112.371	112.486	12528	0	1
2018.07.12	16:00:00	112.486	112.542	112.361	112.438	14251	0	1
2018.07.12	20:00:00	112.438	112.546	112.414	112.530	9845	0	1
2018.07.13	00:00:00	112.455	112.767	112.455	112.683	18391	0	1
2018.07.13	04:00:00	112.683	112.710	112.574	112.667	9612	0	1
2018.07.13	08:00:00	112.667	112.800	112.542	112.721	11087	0	1
2018.07.13	12:00:00	112.721	112.750	112.416	112.509	10861	0	1
2018.07.13	16:00:00	112.509	112.562	112.332	112.437	14504	0	1
2018.07.13	20:00:00	112.437	112.467	112.275	112.337	5130	0	1
2018.07.16	00:00:00	112.199	112.516	112.155	112.476	10718	0	1
2018.07.16	04:00:00	112.476	112.561	112.450	112.474	7906	0	1
2018.07.16	08:00:00	112.474	112.529	112.336	112.470	8244	0	1
2018.07.16	12:00:00	112.470	112.473	112.260	112.349	6842	0	1
2018.07.16	16:00:00	112.350	112.434	112.228	112.331	10777	0	1
2018.07.16	20:00:00	112.331	112.344	112.241	112.268	6708	0	1
2018.07.17	00:00:00	112.268	112.459	112.220	112.419	20033	0	1
2018.07.17	04:00:00	112.419	112.571	112.326	112.384	13608	0	1
2018.07.17	08:00:00	112.384	112.440	112.222	112.345	10986	0	1
2018.07.17	12:00:00	112.345	112.666	112.297	112.652	8897	0	1
2018.07.17	16:00:00	112.652	112.913	112.613	112.873	16880	0	1
2018.07.17	20:00:00	112.873	112.924	112.798	112.862	8333	0	1
2018.07.18	00:00:00	112.857	113.076	112.832	112.977	22114	0	1
2018.07.18	04:00:00	112.977	113.013	112.878	113.002	8918	0	1
