<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.20	10:00:00	1.99809	2.00278	1.99806	2.00096	4715	0	10
2026.01.20	11:00:00	2.00101	2.00450	2.00025	2.00268	4363	0	10
2026.01.20	12:00:00	2.00264	2.00353	2.00044	2.00223	4133	0	10
2026.01.20	13:00:00	2.00225	2.00235	1.99808	1.99879	3984	0	10
2026.01.20	14:00:00	1.99880	1.99894	1.99683	1.99754	4143	0	10
2026.01.20	15:00:00	1.99757	2.00052	1.99631	1.99871	5126	0	10
2026.01.20	16:00:00	1.99871	1.99940	1.99691	1.99850	4920	0	10
2026.01.20	17:00:00	1.99850	2.00048	1.99595	1.99597	4886	0	10
2026.01.20	18:00:00	1.99595	1.99766	1.99537	1.99763	4307	0	10
2026.01.20	19:00:00	1.99770	1.99817	1.99604	1.99662	4092	0	10
2026.01.20	20:00:00	1.99661	1.99710	1.99571	1.99599	3680	0	10
2026.01.20	21:00:00	1.99599	1.99620	1.99415	1.99442	3659	0	10
2026.01.20	22:00:00	1.99438	1.99515	1.99404	1.99428	3225	0	10
2026.01.20	23:00:00	1.99427	1.99508	1.99379	1.99380	2066	0	31
2026.01.21	00:00:00	1.99382	1.99655	1.99297	1.99569	2181	0	58
2026.01.21	01:00:00	1.99573	1.99675	1.99420	1.99666	1992	0	19
2026.01.21	02:00:00	1.99665	1.99665	1.99535	1.99653	2972	0	10
2026.01.21	03:00:00	1.99662	1.99681	1.99450	1.99486	3916	0	10
2026.01.21	04:00:00	1.99488	1.99649	1.99476	1.99579	1369	0	13
2026.01.21	05:00:00	1.99582	1.99630	1.99462	1.99621	865	0	30
2026.01.21	06:00:00	1.99626	1.99687	1.99563	1.99591	1417	0	12
2026.01.21	07:00:00	1.99595	1.99617	1.99424	1.99471	3199	0	10
2026.01.21	08:00:00	1.99470	1.99488	1.98980	1.99025	3310	0	10
2026.01.21	09:00:00	1.99020	1.99190	1.98933	1.99065	3803	0	10
2026.01.21	10:00:00	1.99063	1.99120	1.98911	1.99016	4016	0	10
2026.01.21	11:00:00	1.99017	1.99017	1.98697	1.98743	3779	0	10
2026.01.21	12:00:00	1.98741	1.98848	1.98681	1.98725	3635	0	10
2026.01.21	13:00:00	1.98726	1.98793	1.98568	1.98655	3440	0	10
2026.01.21	14:00:00	1.98656	1.98668	1.98313	1.98357	4219	0	10
2026.01.21	15:00:00	1.98361	1.98516	1.98221	1.98504	4159	0	10
2026.01.21	16:00:00	1.98506	1.98765	1.98379	1.98582	5154	0	10
2026.01.21	17:00:00	1.98581	1.98622	1.98239	1.98310	4491	0	10
2026.01.21	18:00:00	1.98311	1.98580	1.98311	1.98534	4482	0	10
2026.01.21	19:00:00	1.98534	1.98770	1.98472	1.98645	4401	0	10
